TicketNo,First Name,Last Name,HomePlanet,Cabin,Destination,BodyState,Age,VIP,RoomService,FoodCourt,Mall,Spa,VR Deck,Transported
0036-1,Marina,Leodger,Earth,Gamma-0009-R,Kepler 442b,Normal,17,,0,4870.8,475.2,198,3969.9,FALSE
0037-1,Vivia,Rickson,Earth,Gamma-0010-R,Kepler 186f,Normal,21,NO,3356.1,29.7,1346.4,2346.3,0,*System Error*
0038-1,Loise,Wheelez,Earth,Gamma-0011-R,Kepler 442b,Normal,21,NO,5484.6,1930.5,0,25799.4,0,FALSE
0039-1,Jorgie,Batthewitt,Earth,Kappa-0002-L,Kepler 442b,Cryostasis,32,NO,0,0,0,0,0,FALSE
0040-1,Antino,Pinoffent,Trapist 1e,Alfa-0003-L,Kepler 186f,Normal,47,NO,9226.8,732.6,0,69.3,9999,*System Error*
0040-2,Jihda,Pinoffent,Trapist 1e,Alfa-0003-L,Kepler 186f,Normal,45,NO,0,15453.9,0,138.6,2217.6,*System Error*
0041-1,Margia,Moodsey,Earth,Kappa-0003-L,Kepler 186f,Cryostasis,18,NO,0,0,0,0,0,TRUE
0042-1,Hamus,Frit??,55-Cancri e,Zeta-0001-L,Kepler 186f,Cryostasis,48,NO,0,0,0,0,0,*System Error*
0043-1,Ankalik,Cylistrand,Trapist 1e,Delta-0004-L,Kepler 186f,Normal,46,NO,0,1623.6,445.5,24858.9,8464.5,FALSE
0044-1,Jodye,Coopelandez,Earth,Kappa-0004-L,Kepler 186f,Cryostasis,57,NO,0,0,0,0,0,FALSE
0044-2,Kayne,Coopelandez,Earth,Kappa-0004-L,Kepler 442b,Cryostasis,6,NO,0,0,0,0,0,TRUE
0044-3,Cassa,Coopelandez,Earth,Kappa-0004-L,Kepler 452b,Cryostasis,22,NO,0,0,0,0,0,TRUE
0045-1,Zelowl,Chmad,55-Cancri e,Gamma-0011-L,Kepler 186f,Normal,23,NO,9603,0,1782,0,633.6,FALSE
0045-2,Mass,Chmad,55-Cancri e,Gamma-0011-L,,Cryostasis,21,NO,0,0,0,0,0,TRUE
0046-1,Neilda,Powery,Earth,Kappa-0005-L,Kepler 186f,Normal,22,NO,0,0,0,16701.3,910.8,*System Error*
0046-2,Glene,Powery,Earth,Gamma-0012-L,Kepler 186f,Normal,29,NO,0,0,0,8939.7,0,*System Error*
0046-3,Joanny,Powery,Earth,Gamma-0012-L,Kepler 186f,Normal,21,NO,19.8,118.8,2504.7,4524.3,6831,*System Error*
0047-1,Winonon,Prucerod,Trapist 1e,Delta-0001-R,Kepler 186f,Cryostasis,46,NO,0,0,0,0,0,*System Error*
0047-2,Muons,Prucerod,Trapist 1e,,Kepler 186f,Normal,30,NO,0,76309.2,2405.7,5633.1,3395.7,*System Error*
0047-3,,,Trapist 1e,Delta-0001-R,Kepler 186f,Normal,42,NO,257.4,19057.5,79.2,31125.6,623.7,*System Error*
0048-1,Tyle,Deckerry,Earth,Kappa-0006-R,Kepler 186f,Normal,32,NO,0,8692.2,257.4,29.7,0,*System Error*
0049-1,Doria,Flynney,Earth,Zeta-0002-L,Kepler 186f,Normal,16,NO,0,0,0,15929.1,0,*System Error*
0050-1,Sony,Lancis,Earth,Zeta-0002-R,Kepler 442b,Normal,36,NO,7821,0,0,0,0,FALSE
0051-1,Vivia,Johnshines,Earth,Zeta-0003-R,Kepler 186f,Normal,58,NO,0,1108.8,0,13652.1,1257.3,FALSE
0052-1,Elaney,Hubbarton,Earth,Kappa-0007-R,Kepler 186f,Normal,2,NO,39.6,0,19.8,46361.7,0,FALSE
0053-1,Elson,Hickerson,Earth,Gamma-0012-R,Kepler 186f,Normal,27,NO,0,0,19186.2,0,9.9,TRUE
0054-1,Algedia,Viouster,Trapist 1e,Delta-0005-L,Kepler 442b,Cryostasis,33,NO,0,0,0,0,0,*System Error*
0054-2,Alteron,Viouster,Trapist 1e,Delta-0005-L,Kepler 442b,Normal,29,NO,0,69072.3,0,39.6,12226.5,*System Error*
0054-3,Winon,Viouster,Trapist 1e,Delta-0005-L,Kepler 442b,Normal,67,NO,386.1,63874.8,0,13949.1,1534.5,*System Error*
0055-1,Brence,Frederry,Earth,Kappa-0006-L,Kepler 186f,Normal,26,NO,17661.6,79.2,178.2,178.2,0,*System Error*
0056-1,Okulas,Tractive,Trapist 1e,Beta-0002-R,Kepler 186f,Normal,3,NO,0,0,0,0,0,TRUE
0056-2,Instab,Tractive,Trapist 1e,Beta-0002-R,Kepler 186f,Cryostasis,40,NO,0,0,0,0,0,TRUE
0056-3,Zinoces,Tractive,Trapist 1e,Beta-0002-R,Kepler 186f,Normal,29,NO,2762.1,5989.5,33402.6,2831.4,29.7,TRUE
0057-1,Gatrin,Windend,Trapist 1e,Epsilon-0002-L,Kepler 442b,Normal,21,NO,2900.7,34600.5,52202.7,1168.2,4177.8,*System Error*
0058-1,Warry,Ayalazquez,Earth,Kappa-0008-R,Kepler 452b,Cryostasis,38,NO,0,0,0,0,0,FALSE
0059-1,Janne,Carvis,Earth,Zeta-0003-L,Kepler 186f,Cryostasis,37,NO,0,0,0,0,0,*System Error*
0060-1,Fanna,Ashipeck,Earth,Gamma-0013-L,Kepler 186f,Normal,23,NO,0,6128.1,118.8,29.7,0,*System Error*
0061-1,Shanya,Salez,Earth,Gamma-0013-R,Kepler 186f,Normal,24,NO,445.5,10850.4,1465.2,13632.3,9.9,FALSE
0062-1,Sterry,Greeves,Earth,Gamma-0014-R,Kepler 186f,Normal,64,NO,0,5860.8,0,168.3,247.5,FALSE
0063-1,Elene,Daughessey,Earth,Kappa-0009-R,Kepler 442b,Cryostasis,20,NO,0,0,0,0,0,*System Error*
0064-1,,,55-Cancri e,Gamma-0015-R,Kepler 186f,Cryostasis,16,NO,0,0,0,0,0,TRUE
0064-2,Colatz,Keen,,Zeta-0004-R,Kepler 186f,Cryostasis,34,NO,0,0,0,0,0,TRUE
0065-1,Monald,Rushorney,Earth,Kappa-0010-R,Kepler 186f,Cryostasis,28,NO,0,0,0,0,0,*System Error*
0066-1,Diandy,Pecketton,Earth,Kappa-0007-L,Kepler 186f,Normal,63,NO,9.9,1514.7,1950.3,0,4554,FALSE
0067-1,Ninaha,Leeves,Earth,Kappa-0011-R,Kepler 452b,Cryostasis,,NO,0,0,0,0,0,TRUE
0067-2,Celine,Leeves,Earth,Kappa-0011-R,Kepler 186f,Normal,19,NO,9.9,2554.2,4415.4,0,0,TRUE
0067-3,Velyne,Leeves,Earth,Gamma-0016-R,Kepler 442b,Normal,23,NO,19265.4,366.3,0,0,237.6,FALSE
0068-1,Cinst,Binie,55-Cancri e,Zeta-0005-R,Kepler 186f,Normal,2,NO,7850.7,0,19.8,2504.7,0,FALSE
0069-1,,,Earth,Gamma-0017-R,Kepler 186f,Normal,43,NO,8781.3,0,89.1,59.4,0,TRUE
0070-1,Meremy,Brighttt,Earth,Gamma-0014-L,Kepler 186f,Normal,21,NO,1881,0,49.5,9.9,7187.4,FALSE
0071-1,Nelly,Dillines,Earth,Gamma-0015-L,Kepler 186f,Normal,18,NO,158.4,21433.5,0,0,514.8,FALSE
0072-1,Thell,Brantuarez,Earth,Gamma-0018-R,Kepler 186f,Normal,16,NO,0,9.9,0,0,10523.7,FALSE
0073-1,Gorn,Make,55-Cancri e,Alfa-0004-L,Kepler 452b,Normal,38,NO,455.4,821.7,7306.2,0,118.8,FALSE
0074-1,Aldibah,Mostedry,Trapist 1e,Epsilon-0004-R,Kepler 186f,Normal,43,NO,9.9,83130.3,0,0,5009.4,TRUE
0075-1,Shally,Jimes,Earth,Kappa-0012-R,Kepler 186f,Normal,20,NO,5920.2,0,297,0,0,*System Error*
0076-1,Conk,Dal,55-Cancri e,Gamma-0019-R,Kepler 186f,Normal,29,NO,1455.3,0,10078.2,0,0,TRUE
0077-1,Pon,Blit??,55-Cancri e,Gamma-0016-L,Kepler 186f,Normal,29,NO,138.6,0,12820.5,0,0,TRUE
0078-1,Spuri,Pokerheed,Trapist 1e,Epsilon-0005-R,Kepler 186f,Normal,40,NO,0,57816,0,3177.9,95574.6,FALSE
0079-1,Verney,Sullones,Earth,Kappa-0013-R,Kepler 186f,Cryostasis,49,NO,0,0,0,0,0,*System Error*
0080-1,Wandy,Llobsoney,Earth,Kappa-0008-L,Kepler 186f,Normal,24,NO,138.6,8613,0,0,227.7,*System Error*
0081-1,Dellie,Vinozarks,Earth,Kappa-0014-R,Kepler 186f,Cryostasis,14,NO,0,0,0,0,0,FALSE
0082-1,Totse,Datte,55-Cancri e,Gamma-0017-L,Kepler 186f,Normal,43,NO,73319.4,0,0,0,0,FALSE
0082-2,Eaturs,Datte,55-Cancri e,Gamma-0017-L,Kepler 186f,Cryostasis,3,NO,0,0,0,0,0,TRUE
0082-3,,,55-Cancri e,Gamma-0017-L,Kepler 186f,Normal,10,NO,0,0,0,0,0,TRUE
0083-1,Lilasa,Barris,Earth,Kappa-0009-L,Kepler 186f,Normal,26,NO,4781.7,0,861.3,2118.6,0,*System Error*
0084-1,Coren,Coopezmaney,Earth,Kappa-0015-R,Kepler 186f,Normal,25,NO,6811.2,0,0,0,168.3,TRUE
0085-1,Furudah,Ellcefulve,Trapist 1e,Epsilon-0006-R,Kepler 186f,Cryostasis,41,NO,0,0,0,0,0,TRUE
0086-1,Jodye,Kinson,Earth,Gamma-0018-L,Kepler 186f,Normal,44,NO,2088.9,0,0,6316.2,5078.7,FALSE
0087-1,Meremy,Jarvey,Earth,Zeta-0004-L,Kepler 186f,Normal,20,NO,0,198,1336.5,2623.5,3633.3,*System Error*
0088-1,Stmeal,Sacre,55-Cancri e,Zeta-0006-R,Kepler 452b,Cryostasis,47,NO,0,0,0,0,0,TRUE
0089-1,Ors,Cha,55-Cancri e,Gamma-0020-R,Kepler 186f,Cryostasis,26,NO,0,0,0,0,0,*System Error*
0090-1,Heremy,Santry,Earth,Kappa-0016-R,Kepler 186f,Cryostasis,36,NO,0,0,0,0,0,TRUE
0091-1,Deanne,Yorkland,Earth,Kappa-0017-R,Kepler 186f,Cryostasis,28,NO,0,0,0,0,0,TRUE
0091-2,Tinez,Yorkland,Earth,Gamma-0021-R,Kepler 186f,Normal,28,NO,9.9,6900.3,306.9,1861.2,0,FALSE
0092-1,Gracy,Dunnisey,Earth,Kappa-0010-L,Kepler 186f,Normal,20,NO,0,0,6633,9.9,336.6,FALSE
0092-2,Stald,Hewson,Earth,Kappa-0010-L,Kepler 186f,Cryostasis,,NO,0,0,0,0,0,TRUE
0092-3,Tiney,Hewson,Earth,Kappa-0010-L,Kepler 186f,Cryostasis,5,NO,0,0,0,0,0,TRUE
0093-1,Krisa,Dukertyler,Earth,Kappa-0011-L,Kepler 186f,Normal,29,NO,653.4,17186.4,0,0,148.5,*System Error*
0094-1,Jaye,Santantines,Earth,Kappa-0018-R,Kepler 186f,Cryostasis,8,NO,0,0,0,0,0,*System Error*
0094-2,Terta,Santantines,Earth,Gamma-0022-R,Kepler 186f,Normal,34,NO,0,0,0,8573.4,0,*System Error*
0095-1,Toddie,Benderez,Earth,Gamma-0019-L,Kepler 452b,Normal,24,NO,0,0,12226.5,0,0,*System Error*
0096-1,Leenny,Swanardy,Earth,Gamma-0023-R,Kepler 452b,Normal,31,NO,9.9,0,15691.5,0,4791.6,*System Error*
0097-1,Alchium,Fictful,Trapist 1e,Beta-0003-R,Kepler 186f,Normal,55,NO,0,11959.2,0,29.7,6306.3,FALSE
0098-1,Doria,Carezquez,Earth,Kappa-0012-L,Kepler 186f,Normal,27,NO,0,8474.4,49.5,316.8,0,FALSE
0098-2,Leence,Carezquez,Earth,Kappa-0012-L,Kepler 186f,Normal,27,NO,0,27828.9,9474.3,0,861.3,TRUE
0099-1,Aliey,Leetersoney,Earth,Gamma-0020-L,Kepler 452b,Normal,24,NO,3078.9,4227.3,5207.4,366.3,0,FALSE
0099-2,Thewis,Connelson,Earth,Kappa-0013-L,Kepler 186f,,4,NO,0,0,0,0,0,TRUE
0100-1,Dary,Cochrisons,Earth,Kappa-0014-L,Kepler 186f,Normal,2,,0,168.3,9870.3,0,0,*System Error*
0100-2,Mael,Cochrisons,Earth,Kappa-0014-L,Kepler 186f,Normal,3,NO,0,0,0,0,0,*System Error*
0101-1,Book,Trad,55-Cancri e,,Kepler 186f,Cryostasis,33,NO,0,0,0,0,0,TRUE
0102-1,Ritany,Holson,Earth,Gamma-0024-R,Kepler 186f,Normal,20,NO,0,0,0,8217,900.9,FALSE
0103-1,Arlen,Mclainez,Earth,Gamma-0025-R,Kepler 186f,Normal,26,NO,0,0,0,0,168.3,TRUE
0103-2,Shaele,Mclainez,Earth,Kappa-0019-R,Kepler 442b,Cryostasis,11,NO,0,0,0,0,0,TRUE
0103-3,Fanne,Mclainez,Earth,Kappa-0019-R,Kepler 186f,Cryostasis,8,NO,0,0,0,0,0,FALSE
0104-1,Alene,Rochan,Earth,Gamma-0026-R,Kepler 186f,Normal,22,NO,9.9,0,0,5930.1,0,*System Error*
0105-1,Carry,Cleachrand,Earth,Gamma-0022-L,Kepler 186f,,29,NO,0,0,5643,19.8,1296.9,FALSE
0106-1,Therly,Puckenton,Earth,Gamma-0027-R,Kepler 186f,Cryostasis,18,NO,0,0,0,0,0,*System Error*
0107-1,Coobix,Hart,55-Cancri e,Alfa-0003-R,Kepler 186f,Normal,22,NO,17255.7,49.5,168.3,0,0,FALSE
0108-1,Natald,Handertiz,Earth,Kappa-0020-R,Kepler 186f,Cryostasis,25,NO,0,0,0,0,0,FALSE
0108-2,,,Earth,Kappa-0020-R,Kepler 186f,Normal,32,NO,5563.8,0,3227.4,0,0,FALSE
0108-3,Oline,Handertiz,Earth,Kappa-0020-R,Kepler 186f,Normal,,,0,0,0,0,0,TRUE
0109-1,Tonald,Wolferton,Earth,Gamma-0023-L,Kepler 186f,Normal,35,NO,0,0,386.1,9.9,5504.4,*System Error*
0110-1,Graviph,Aloubtled,Trapist 1e,,Kepler 186f,Normal,33,NO,0,4059,59.4,38897.1,7563.6,FALSE
0110-2,Aldeba,Bootious,Trapist 1e,Delta-0006-L,Kepler 186f,,41,NO,0,3276.9,0,0,16701.3,FALSE
0110-3,Alette,Aloubtled,Trapist 1e,Delta-0006-L,Kepler 186f,Normal,43,NO,21869.1,113038.2,0,18493.2,4405.5,TRUE
0110-4,Izark,Aloubtled,Trapist 1e,Delta-0006-L,Kepler 186f,Cryostasis,29,NO,0,0,0,0,0,TRUE
0111-1,Aldera,Supred,Trapist 1e,Zeta-0007-R,Kepler 186f,Cryostasis,31,NO,0,0,0,0,0,TRUE
0112-1,Moth,Cowtale,Trapist 1e,Delta-0002-R,Kepler 442b,Normal,50,VIP,0,25116.3,861.3,168.3,128.7,TRUE
0113-1,Idary,Carvis,Earth,Gamma-0024-L,Kepler 186f,Normal,66,NO,0,0,7959.6,0,0,TRUE
0114-1,Maura,Beckerson,Earth,Kappa-0021-R,Kepler 186f,Normal,29,NO,811.8,1554.3,4247.1,2356.2,9.9,FALSE
0115-1,Rohs,Pead,55-Cancri e,Gamma-0025-L,Kepler 186f,,27,NO,0,0,0,0,0,TRUE
0116-1,Alhenah,Suptive,Trapist 1e,Alfa-0005-L,Kepler 186f,Normal,34,NO,9.9,22007.7,0,118.8,3999.6,TRUE
0117-1,Megany,Ewiseston,Earth,Zeta-0005-L,Kepler 452b,Normal,26,NO,0,217.8,811.8,0,6791.4,*System Error*
0118-1,Troyce,Moodmandez,Earth,Kappa-0015-L,Kepler 186f,Normal,30,NO,138.6,8603.1,0,9.9,0,*System Error*
0119-1,Batan,Coning,,Beta-0001-L,Kepler 186f,Normal,40,NO,0,23205.6,0,643.5,68290.2,FALSE
0119-2,Kleeiak,Coning,Trapist 1e,Beta-0001-L,Kepler 186f,Cryostasis,15,NO,0,0,0,0,0,TRUE
0120-1,Bees,Sacre,55-Cancri e,Gamma-0026-L,Kepler 186f,Cryostasis,26,NO,0,0,0,0,0,TRUE
0121-1,Kendy,Mayson,Earth,Gamma-0027-L,Kepler 186f,Normal,21,NO,10266.3,9.9,19.8,0,15602.4,*System Error*
0122-1,Shelle,Hayder,Earth,Kappa-0022-R,Kepler 186f,Normal,31,NO,0,0,0,6920.1,732.6,FALSE
0123-1,Iree,Fielson,Earth,Gamma-0028-L,Kepler 186f,Normal,19,NO,544.5,5910.3,485.1,0,9.9,FALSE
0124-1,Karay,Camerrison,Earth,Kappa-0016-L,Kepler 442b,Cryostasis,7,NO,0,0,0,0,0,*System Error*
0125-1,Saiphda,Fulatorly,Trapist 1e,Delta-0007-L,Kepler 442b,Cryostasis,24,NO,0,0,0,0,0,*System Error*
0125-2,Hadira,Fulatorly,Trapist 1e,Delta-0007-L,Kepler 186f,Normal,18,NO,39263.4,28432.8,0,0,24334.2,*System Error*
0126-1,Milly,Mish,55-Cancri e,Gamma-0028-R,Kepler 186f,Cryostasis,69,NO,0,0,0,0,0,TRUE
0127-1,Miloss,Mesty,55-Cancri e,Zeta-0008-R,Kepler 186f,Normal,36,NO,6939.9,0,2930.4,0,247.5,FALSE
0128-1,Grohs,Fles,55-Cancri e,Alfa-0004-R,Kepler 186f,Normal,62,VIP,23294.7,3306.6,89.1,3128.4,19.8,FALSE
0128-2,Barave,Fles,55-Cancri e,Zeta-0009-R,Kepler 186f,Normal,46,NO,20819.7,59.4,0,0,0,FALSE
0129-1,Race,Fowles,Earth,Kappa-0023-R,Kepler 452b,Cryostasis,23,NO,0,0,0,0,0,TRUE
0130-1,Catha,Gilesonston,Earth,Kappa-0017-L,Kepler 442b,Cryostasis,8,NO,0,0,0,0,0,*System Error*
0131-1,Vine,Simstravery,Earth,Gamma-0029-R,Kepler 442b,Normal,37,NO,0,0,5652.9,356.4,0,*System Error*
0132-1,Stech,Potte,55-Cancri e,Alfa-0005-R,Kepler 442b,Normal,28,NO,455.4,3118.5,22819.5,0,960.3,*System Error*
0133-1,Flynx,Blie,55-Cancri e,Gamma-0030-R,Kepler 186f,Cryostasis,20,NO,0,0,0,0,0,TRUE
0133-2,Egrasp,Blie,55-Cancri e,Alfa-0006-R,Kepler 186f,Normal,37,NO,27106.2,0,0,0,0,FALSE
0134-1,Camina,Harmontry,Earth,Kappa-0018-L,Kepler 186f,Normal,20,NO,0,138.6,7227,0,0,TRUE
0135-1,Rica,Hammonton,Earth,Gamma-0029-L,Kepler 186f,Normal,41,NO,4088.7,5088.6,9.9,0,0,*System Error*
0136-1,,,Earth,Kappa-0024-R,Kepler 452b,Normal,48,NO,960.3,4138.2,1247.4,247.5,544.5,FALSE
0137-1,Jilley,Harry,Earth,Kappa-0025-R,Kepler 186f,Cryostasis,30,NO,0,0,0,0,0,*System Error*
0138-1,Fayene,Gambs,Earth,Kappa-0019-L,Kepler 186f,Cryostasis,15,NO,0,0,0,0,0,TRUE
0138-2,Monah,Gambs,Earth,Zeta-0006-L,,Normal,36,NO,0,217.8,0,5583.6,2049.3,FALSE
0139-1,Charda,Myling,Trapist 1e,Epsilon-0007-R,Kepler 442b,Cryostasis,37,NO,0,0,0,0,0,TRUE
0140-1,Evaley,Mejiaddox,Earth,Kappa-0020-L,Kepler 186f,Cryostasis,26,NO,0,0,0,0,0,TRUE
0140-2,Verney,Whitakers,Earth,Gamma-0030-L,Kepler 186f,Normal,27,NO,4356,0,0,0,4573.8,FALSE
0141-1,Pyrohs,Harte,55-Cancri e,Gamma-0031-L,Kepler 186f,Normal,32,NO,0,0,960.3,0,0,FALSE
0142-1,Oakes,Buth,55-Cancri e,Gamma-0031-R,Kepler 186f,Cryostasis,3,NO,0,0,0,0,0,*System Error*
0142-2,Swafox,Buth,55-Cancri e,Gamma-0031-R,Kepler 186f,Normal,25,NO,3742.2,3979.8,0,0,5039.1,*System Error*
0142-3,Gacke,Buth,55-Cancri e,Gamma-0031-R,Kepler 186f,Normal,,NO,0,0,0,0,0,*System Error*
0143-1,Albert,Unloweedic,Trapist 1e,Epsilon-0003-L,Kepler 442b,Normal,31,NO,0,87644.7,60469.2,287.1,34877.7,*System Error*
0144-1,Guadae,Dayers,Earth,Gamma-0032-R,Kepler 186f,Normal,22,NO,0,4158,2079,0,0,TRUE
0145-1,Arlie,Hodes,Earth,Zeta-0007-L,Kepler 186f,Normal,57,NO,0,435.6,227.7,7157.7,0,*System Error*
0146-1,Verly,Wolferguson,Earth,Kappa-0026-R,Kepler 186f,Normal,58,NO,0,0,0,0,0,FALSE
0147-1,Samie,Hubbarrison,Earth,Kappa-0027-R,Kepler 186f,Cryostasis,52,NO,0,0,0,0,0,TRUE
0148-1,Corsh,Pashe,55-Cancri e,Gamma-0032-L,Kepler 186f,Normal,44,NO,10612.8,0,99,0,752.4,FALSE
0149-1,Billya,Hubbarrison,Earth,Kappa-0028-R,Kepler 442b,Cryostasis,2,NO,0,0,0,0,0,TRUE
0150-1,Menkaa,Slowatic,Trapist 1e,Delta-0008-L,Kepler 186f,Cryostasis,38,NO,0,0,0,0,0,*System Error*
0150-2,Wasalm,Slowatic,Trapist 1e,Delta-0008-L,Kepler 186f,Cryostasis,58,NO,0,0,0,0,0,*System Error*
0151-1,Shanie,Simson,Earth,Kappa-0021-L,Kepler 442b,Cryostasis,39,NO,0,0,0,0,0,FALSE
